Charlestons,American,11,22,11,22,11,22,11,22,11,22,11,22,11,21,25
Neighborhood Jam,Breakfast,7,14.3,7,14.3,7,14.3,7,14.3,7,14.3,7,14.3,7,14.3,20
Fuzzys,Mexican,10,22,10,22,10,22,10,22,10,22,10,22,10,22,15
Louise,American,9,0,1,1,1,1,1,1,1,1,1,1,1,1,18
Bison Witches,Soup/Sandwich,11,2,11,2,11,2,11,2,11,2,11,2,11,2,15
Tarahumaras,Mexican,11,21,11,21,11,21,11,21,11,22,11,22,11,20.3,20
Chik-fil-A,Chicken,6.3,22,6.3,22,6.3,22,6.3,22,6.3,22,6.3,22,0,0,10
The Mont,American,11,2,11,2,11,2,11,2,11,2,11,2,11,2,15
Victorias,Italian,11,21,11,21,11,21,11,21.3,11,21.3,11,21.3,11,21,15
Canes,Chicken,10,1,10,1,10,1,10,1,10,2,10,2,10,1,10
Cheddars,American,11,22,11,22,11,22,11,22,11,23,11,23,11,22,15
Five Guys,American,11,22,11,22,11,22,11,22,11,22,11,22,11,22,20
Teds,Mexican,11,21,11,21,11,21,11,21,11,22,11,22,11,20.3,25
Olive Garden,Italian,11,22,11,22,11,22,11,22,11,22,11,22,11,22,20
BJs,American,11,0,11,0,11,0,11,0,11,0,11,0,11,23,20
Freddys,American,10.3,22,10.3,22,10.3,22,10.3,22,10.3,23,10.3,23,10.3,22,10
Magic Noodle,Asian,11,21,0,0,11,21,11,21,11,21,11,21,11,20,15
